epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
177,198,118,8,6,0,2,-c,--,000,1,1,0,1478,1478
177,198,119,8,6,0,2,-c,--,000,1,1,0,1478,1478
185,197,102,7,6,0,3,--c,---,000,1,1,0,1478,1478
222,197,20,2,6,0,3,-cc,---,000,1,1,0,1478,1478
185,197,103,7,6,0,3,--c,---,000,1,1,0,1478,1478
230,196,4,1,6,0,3,-cc,---,000,1,1,0,1478,1478
222,197,21,2,6,0,3,-cc,---,000,1,1,0,1478,1478
230,196,5,1,6,0,3,-cc,---,000,1,1,0,1478,1478
230,197,6,1,6,0,3,-cc,---,000,1,1,0,1478,1478
177,198,120,8,6,0,2,-c,--,000,1,1,0,1478,1478
177,198,121,8,6,0,2,-c,--,000,1,1,0,1478,1478
161,198,155,10,6,0,4,---c,----,000,1,1,0,1478,1478
161,198,156,10,6,0,4,---c,----,000,1,1,0,1478,1478
177,197,122,8,6,0,2,-c,--,000,1,1,0,1478,1478
177,197,123,8,6,0,2,-c,--,000,1,1,0,1478,1478
177,197,124,8,6,0,2,-c,--,000,1,1,0,1478,1478
161,198,157,10,6,0,4,---c,----,000,1,1,0,1478,1478
177,197,125,8,6,0,2,-c,--,000,1,1,0,1478,1478
230,197,7,1,6,0,3,-cc,---,000,1,1,0,1478,1478
177,197,126,8,6,0,2,-c,--,000,1,1,0,1478,1478
169,198,143,9,6,0,3,--c,---,000,1,1,0,1478,1478
177,197,127,8,6,0,2,-c,--,000,1,1,0,1478,1478
230,197,8,1,6,0,3,-cc,---,000,1,1,0,1478,1478
169,197,144,9,6,0,3,--c,---,000,1,1,0,1478,1478
211,198,48,4,6,0,3,--c,---,000,1,1,0,1478,1478
230,197,9,1,6,0,3,-cc,---,000,1,1,0,1478,1478
169,198,145,9,6,0,3,--c,---,000,1,1,0,1478,1478
203,197,66,5,6,0,2,-c,--,000,1,1,0,1478,1478
169,198,146,9,6,0,3,--c,---,000,1,1,0,1478,1478
169,198,147,9,6,0,3,--c,---,000,1,1,0,1478,1478
203,198,67,5,6,0,2,-c,--,000,1,1,0,1478,1478
203,198,68,5,6,0,2,-c,--,000,1,1,0,1478,1478
169,198,148,9,6,0,3,--c,---,000,1,1,0,1478,1478
169,198,149,9,6,0,3,--c,---,000,1,1,0,1478,1478
169,198,150,9,6,0,3,--c,---,000,1,1,0,1478,1478
203,198,69,5,6,0,2,-c,--,000,1,1,0,1478,1478
169,198,151,9,6,0,3,--c,---,000,1,1,0,1478,1478
169,198,152,9,6,0,3,--c,---,000,1,1,0,1478,1478
203,198,70,5,6,0,2,-c,--,000,1,1,0,1478,1478
153,198,168,11,6,0,4,---c,----,000,1,1,0,1478,1478
204,198,71,5,6,0,2,-c,--,000,1,1,0,1478,1478
153,198,169,11,6,0,4,---c,----,000,1,1,0,1478,1478
153,198,170,11,6,0,4,---c,----,000,1,1,0,1478,1478
204,198,72,5,6,0,2,-c,--,000,1,1,0,1478,1478
153,198,171,11,6,0,4,---c,----,000,1,1,0,1478,1478
204,198,73,5,6,0,2,-c,--,000,1,1,0,1478,1478
153,198,172,11,6,0,4,---c,----,000,1,1,0,1478,1478
201,197,74,5,6,0,2,-c,--,000,1,1,0,1478,1478
211,198,49,4,6,0,3,c-c,---,000,1,1,0,1478,1478
154,198,173,11,6,0,4,---c,----,000,1,1,0,1478,1478
163,198,153,10,6,0,4,---c,----,000,1,1,0,1478,1478
154,198,174,11,6,0,4,---c,----,000,1,1,0,1478,1478
154,198,175,11,6,0,4,---c,----,000,1,1,0,1478,1478
154,198,176,11,6,0,4,---c,----,000,1,1,0,1478,1478
155,198,1023,11,6,0,4,---c,----,000,5,3,2,2950,1770
163,198,154,10,6,0,4,---c,----,000,1,1,0,1478,1478
179,198,116,8,6,0,2,-c,--,000,1,1,0,1478,1478
211,198,50,4,6,0,3,c-c,---,000,1,1,0,1478,1478
187,198,96,7,6,0,3,--c,---,000,1,1,0,1478,1478
187,198,97,7,6,0,3,--c,---,000,1,1,0,1478,1478
223,198,13,2,6,0,3,-cc,---,000,1,1,0,1478,1478
179,198,117,8,6,0,2,-c,--,000,1,1,0,1478,1478
179,199,118,8,6,0,2,-c,--,000,1,1,0,1478,1478
187,198,98,7,6,0,3,--c,---,000,1,1,0,1478,1478
179,199,119,8,6,0,2,-c,--,000,1,1,0,1478,1478
223,198,14,2,6,0,3,-cc,---,000,1,1,0,1478,1478
223,198,15,2,6,0,3,-cc,---,000,1,1,0,1478,1478
187,198,99,7,6,0,3,--c,---,000,1,1,0,1478,1478
187,198,100,7,6,0,3,--c,---,000,1,1,0,1478,1478
179,199,120,8,6,0,2,-c,--,000,1,1,0,1478,1478
179,199,121,8,6,0,2,-c,--,000,1,1,0,1478,1478
187,198,101,7,6,0,3,--c,---,000,1,1,0,1478,1478
163,199,155,10,6,0,4,-c-c,----,000,1,1,0,1478,1478
163,199,156,10,6,0,4,-c-c,----,000,1,1,0,1478,1478
179,199,122,8,6,0,2,-c,--,000,1,1,0,1478,1478
179,199,123,8,6,0,2,-c,--,000,1,1,0,1478,1478
179,199,124,8,6,0,2,-c,--,000,1,1,0,1478,1478
223,198,16,2,6,0,3,-cc,---,000,1,1,0,1478,1478
223,198,17,2,6,0,3,-cc,---,000,1,1,0,1478,1478
187,199,102,7,6,0,3,--c,---,000,1,1,0,1478,1478
223,198,18,2,6,0,3,-cc,---,000,1,1,0,1478,1478
187,199,103,7,6,0,3,--c,---,000,1,1,0,1478,1478
223,198,19,2,6,0,3,-cc,---,000,1,1,0,1478,1478
232,198,1,1,6,0,3,-cc,---,000,1,1,0,1478,1478
224,199,20,2,6,0,3,-cc,---,000,1,1,0,1478,1478
224,199,21,2,6,0,3,-cc,---,000,1,1,0,1478,1478
232,198,2,1,6,0,3,-cc,---,000,1,1,0,1478,1478
163,199,157,10,6,0,4,-c-c,----,000,1,1,0,1478,1478
232,198,3,1,6,0,3,-cc,---,000,1,1,0,1478,1478
179,199,125,8,6,0,2,-c,--,000,1,1,0,1478,1478
216,198,29,3,6,0,2,cc,--,000,1,1,0,1478,1478
216,198,30,3,6,0,2,cc,--,000,1,1,0,1478,1478
179,199,126,8,6,0,2,-c,--,000,1,1,0,1478,1478
179,199,127,8,6,0,2,-c,--,000,1,1,0,1478,1478
171,199,143,9,6,0,3,--c,---,000,1,1,0,1478,1478
171,199,144,9,6,0,3,--c,---,000,1,1,0,1478,1478
216,197,31,3,6,0,2,cc,--,000,1,1,0,1478,1478
216,197,32,3,6,0,2,cc,--,000,1,1,0,1478,1478
171,199,145,9,6,0,3,--c,---,000,1,1,0,1478,1478
155,199,168,11,6,0,4,---c,----,000,1,1,0,1478,1478
171,199,146,9,6,0,3,--c,---,000,1,1,0,1478,1478
216,198,33,3,6,0,2,cc,--,000,1,1,0,1478,1478
232,199,4,1,6,0,3,-cc,---,000,1,1,0,1478,1478
216,198,34,3,6,0,2,cc,--,000,1,1,0,1478,1478
171,199,147,9,6,0,3,--c,---,000,1,1,0,1478,1478
171,199,148,9,6,0,3,--c,---,000,1,1,0,1478,1478
171,199,149,9,6,0,3,--c,---,000,1,1,0,1478,1478
171,199,150,9,6,0,3,--c,---,000,1,1,0,1478,1478
216,198,35,3,6,0,2,cc,--,000,1,1,0,1478,1478
232,199,5,1,6,0,3,-cc,---,000,1,1,0,1478,1478
171,199,151,9,6,0,3,--c,---,000,1,1,0,1478,1478
171,199,152,9,6,0,3,--c,---,000,1,1,0,1478,1478
155,199,169,11,6,0,4,---c,----,000,1,1,0,1478,1478
232,199,6,1,6,0,3,-cc,---,000,1,1,0,1478,1478
216,198,36,3,6,0,2,cc,--,000,1,1,0,1478,1478
155,199,170,11,6,0,4,---c,----,000,1,1,0,1478,1478
216,198,37,3,6,0,2,cc,--,000,1,1,0,1478,1478
155,199,171,11,6,0,4,---c,----,000,1,1,0,1478,1478
214,196,38,3,6,0,2,cc,--,000,1,1,0,1478,1478
155,199,172,11,6,0,4,---c,----,000,1,1,0,1478,1478
155,199,173,11,6,0,4,---c,----,000,1,1,0,1478,1478
155,199,174,11,6,0,4,---c,----,000,1,1,0,1478,1478
155,199,175,11,6,0,4,---c,----,000,1,1,0,1478,1478
155,199,176,11,6,0,4,---c,----,000,1,1,0,1478,1478
214,196,39,3,6,0,2,cc,--,000,1,1,0,1478,1478
214,196,40,3,6,0,2,cc,--,000,1,1,0,1478,1478
232,199,7,1,6,0,3,-cc,---,000,1,1,0,1478,1478
217,200,1023,3,6,0,2,cc,--,000,3,3,0,1770,1770
232,199,8,1,6,0,3,-cc,---,000,1,1,0,1478,1478
232,199,9,1,6,0,3,-cc,---,000,1,1,0,1478,1478
159,200,1023,11,6,0,4,---c,----,000,2,2,0,1180,1180
225,199,13,2,6,0,3,-cc,---,000,1,1,0,1478,1478
225,199,14,2,6,0,3,-cc,---,000,1,1,0,1478,1478
234,201,1023,1,6,0,3,-cc,---,000,3,1,2,1770,590
233,200,1,1,6,0,3,-cc,---,000,1,1,0,1478,1478
234,200,2,1,6,0,3,-cc,---,000,1,1,0,1478,1478
225,199,15,2,6,0,3,-cc,---,000,1,1,0,1478,1478
234,200,3,1,6,0,3,-cc,---,000,1,1,0,1478,1478
225,200,16,2,6,0,3,-cc,---,000,1,1,0,1478,1478
225,200,17,2,6,0,3,-cc,---,000,1,1,0,1478,1478
225,200,18,2,6,0,3,-cc,---,000,1,1,0,1478,1478
225,200,19,2,6,0,3,-cc,---,000,1,1,0,1478,1478
234,200,4,1,6,0,3,-cc,---,000,1,1,0,1478,1478
218,200,29,3,6,0,2,cc,--,000,1,1,0,1478,1478
218,200,30,3,6,0,2,cc,--,000,1,1,0,1478,1478
234,200,5,1,6,0,3,-cc,---,000,1,1,0,1478,1478
234,200,6,1,6,0,3,-cc,---,000,1,1,0,1478,1478
218,200,31,3,6,0,2,cc,--,000,1,1,0,1478,1478
225,200,20,2,6,0,3,-cc,---,000,1,1,0,1478,1478
218,200,32,3,6,0,2,cc,--,000,1,1,0,1478,1478
225,200,21,2,6,0,3,-cc,---,000,1,1,0,1478,1478
234,200,7,1,6,0,3,-cc,---,000,1,1,0,1478,1478
218,200,33,3,6,0,2,cc,--,000,1,1,0,1478,1478
234,200,8,1,6,0,3,-cc,---,000,1,1,0,1478,1478
218,200,34,3,6,0,2,cc,--,000,1,1,0,1478,1478
234,200,9,1,6,0,3,-cc,---,000,1,1,0,1478,1478
191,201,1023,7,6,0,3,--c,---,000,3,1,2,1770,590
227,201,13,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,14,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,15,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,16,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,17,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,18,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,19,2,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,20,2,6,0,3,-cc,---,000,1,1,0,1478,1478
235,201,1,1,6,0,3,-cc,---,000,1,1,0,1478,1478
235,201,2,1,6,0,3,-cc,---,000,1,1,0,1478,1478
227,201,21,2,6,0,3,-cc,---,000,1,1,0,1478,1478
235,201,3,1,6,0,3,-cc,---,000,1,1,0,1478,1478
